steering_angle,throttle,brake,distance_to_object,position_x,position_y,position_z,rotation_yaw,rotation_pitch,rotation_roll,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,lidar_mean_distance,radar_mean_distance,radar_mean_velocity,depth_mean,speed_kmh
0,0,0,0.648477435,194.6996613,-311.1710205,0.004400482,-179.8571625,0.042729661,-0.018951412,0.011963028,0.013064687,9.303245544,-5.96E-05,0.000209294,6.31E-06,4.642083645,11.59851212,0.007815694,13.923851,0.662855556
0,0.850000024,0,0.686113715,194.6996613,-311.1710205,0.023242034,-179.8571014,0.041513886,-0.018615719,0.006646659,0.002980505,9.173446655,-2.77E-05,9.33E-05,3.94E-06,5.477757454,10.14870854,0.004247925,13.962304,0.29092589
0,0.850000024,0,0.701138258,194.6996613,-311.1710205,0.030612869,-179.8571014,0.041001622,-0.018463131,0.006817327,0.003069859,9.526549339,-1.11E-05,3.73E-05,2.75E-06,5.1921525,13.75489993,0.001152835,13.989062,0.103030872
0,0.850000024,0,0.705934703,194.6996613,-311.1710205,0.033097383,-179.8571014,0.04084453,-0.018402094,0.006921291,0.003118319,9.709029198,-4.73E-06,1.45E-05,2.30E-06,5.443678856,11.60731599,0.000472864,13.99707,0.033036614
-0.000248524,0.850000024,0,0,194.5673828,-311.1713562,0.033472709,-179.8551483,0.1128757,-0.018341063,13.3092804,-0.010468006,9.768239975,-5.10E-05,-0.008658666,-0.000138819,4.741345882,8.271475223,-0.438902647,14.000413,6.57609572
0,0.850000024,0,0.000451766,194.184494,-311.1723022,0.033894461,-179.8549347,0.126317516,-0.013336182,7.101846218,0.024372004,9.864995956,-0.001312966,0.002543526,5.52E-05,3.20823431,4.491673347,-2.156323542,13.945676,11.07366331
0,0.850000024,0,0.001670208,193.64505,-311.1736145,0.034500275,-179.8546295,0.101517096,-0.006195066,6.097252369,-0.014370639,9.744832039,-0.00020471,0.001827786,2.84E-05,2.08080554,4.191143491,-3.334653979,13.885461,14.49005878
0,0.850000024,0,0.002459733,192.9737701,-311.175293,0.034895934,-179.8546753,0.079735622,-6.10E-05,5.518676758,0.006048065,9.800132751,-0.00057461,0.001938262,-1.31E-05,2.815650463,8.534863335,-3.842516536,13.751908,17.50660526
0,0.850000024,0,0.003446045,192.1893921,-311.1773071,0.035388373,-179.8547668,0.061137021,0.000956338,1.800392866,-0.014699963,9.766413689,7.83E-05,0.00379816,-0.000155709,3.099371433,6.646725837,-4.531956977,13.68443,19.46274991
0,0.850000024,0,0.003401992,191.3491821,-311.1794128,0.035367966,-179.8542328,0.04599449,0.000413964,3.537880659,0.000948692,9.799334526,4.24E-05,0.000197041,0.000514371,3.249463797,3.886993046,-4.645825417,13.753856,21.01725108
